Iteration 3240, progress: 0%, best action: KKKKR, dices: 1,1,1,1,6
Iteration 1310, progress: 1.3503086419753085%, best action: KKRRR, dices: 1,1,4,2,3
Iteration 4543, progress: 1.3631687242798354%, best action: KKRKR, dices: 1,1,4,1,4
Iteration 6489, progress: 1.3760288065843622%, best action: KRRKK, dices: 1,1,4,2,2
Iteration 6490, progress: 1.3888888888888888%, best action: KRRRR, dices: 1,1,4,2,5
Iteration 6491, progress: 1.4017489711934157%, best action: KKRRR, dices: 1,1,4,2,6
Iteration 1311, progress: 1.4146090534979423%, best action: KKRKR, dices: 1,1,4,3,2
Iteration 1312, progress: 1.4274691358024691%, best action: KKRKK, dices: 1,1,4,3,3
Iteration 10, progress: 1.440329218106996%, best action: KRKKR, dices: 1,1,3,4,2
Iteration 11, progress: 1.4531893004115226%, best action: RRRRR, dices: 1,1,4,3,5
Iteration 12, progress: 1.4660493827160492%, best action: KKRRR, dices: 1,1,4,3,6
Iteration 5190, progress: 1.478909465020576%, best action: RKRKR, dices: 1,1,3,4,5
Iteration 2603, progress: 1.491769547325103%, best action: KKRKK, dices: 1,1,3,5,1
Iteration 2604, progress: 1.5046296296296295%, best action: KKKKR, dices: 1,1,4,4,3
Iteration 7136, progress: 1.5174897119341564%, best action: KKRRR, dices: 1,1,3,5,2
Iteration 2605, progress: 1.530349794238683%, best action: RRKKK, dices: 1,1,4,4,4
Iteration 3249, progress: 1.5432098765432098%, best action: KKKRK, dices: 1,1,3,5,3
Iteration 5191, progress: 1.5560699588477367%, best action: KKRRR, dices: 1,1,4,4,2
Iteration 2606, progress: 1.5689300411522635%, best action: RRKKR, dices: 1,1,4,4,6
Iteration 7137, progress: 1.5817901234567902%, best action: KKRRR, dices: 1,1,4,4,5
Iteration 2607, progress: 1.594650205761317%, best action: KKRRR, dices: 1,1,4,5,4
Iteration 2608, progress: 1.6075102880658436%, best action: KKRKK, dices: 1,1,4,5,5
Iteration 3892, progress: 1.6203703703703702%, best action: KKRKR, dices: 1,1,3,5,5
Iteration 3893, progress: 1.6332304526748969%, best action: KKRRK, dices: 1,1,4,6,1
Iteration 3894, progress: 1.646090534979424%, best action: KKRRR, dices: 1,1,4,6,2
Iteration 5841, progress: 1.6589506172839508%, best action: KRRRK, dices: 1,1,3,6,5
Iteration 5842, progress: 1.6718106995884774%, best action: KKKRK, dices: 1,1,4,6,4
Iteration 3895, progress: 1.684670781893004%, best action: KKRRR, dices: 1,1,4,6,3
Iteration 3896, progress: 1.6975308641975309%, best action: KKRKK, dices: 1,1,4,6,6
Iteration 3897, progress: 1.7103909465020575%, best action: KKRKK, dices: 1,1,5,1,1
Iteration 3898, progress: 1.7232510288065845%, best action: KKRKR, dices: 1,1,5,1,2
Iteration 3899, progress: 1.7361111111111112%, best action: KKRKR, dices: 1,1,5,1,3
Iteration 3900, progress: 1.7489711934156378%, best action: KKKKR, dices: 1,1,5,1,4
Iteration 3901, progress: 1.7618312757201646%, best action: KKRKR, dices: 1,1,5,1,5
Iteration 5843, progress: 1.7746913580246912%, best action: KKRRR, dices: 1,1,4,6,5
Iteration 1955, progress: 1.7875514403292179%, best action: KKKKK, dices: 1,1,4,1,1
Iteration 1956, progress: 1.800411522633745%, best action: KKRKK, dices: 1,1,5,2,2
Iteration 1957, progress: 1.8132716049382718%, best action: KKRRR, dices: 1,1,5,2,3
Iteration 655, progress: 1.8261316872427984%, best action: RKKRR, dices: 1,1,4,1,3
Iteration 656, progress: 1.838991769547325%, best action: KKRRR, dices: 1,1,5,2,5
Iteration 657, progress: 1.8518518518518516%, best action: KKRRR, dices: 1,1,5,2,6
Iteration 658, progress: 1.8647119341563785%, best action: KKRRK, dices: 1,1,5,3,1
Iteration 4544, progress: 1.8775720164609055%, best action: RRKKK, dices: 1,1,4,2,4
Iteration 4545, progress: 1.8904320987654322%, best action: KKRKK, dices: 1,1,5,3,3
Iteration 6492, progress: 1.9032921810699588%, best action: KKRRK, dices: 1,1,4,3,1
Iteration 6493, progress: 1.9161522633744856%, best action: KKKRK, dices: 1,1,5,3,5
Iteration 1313, progress: 1.9290123456790123%, best action: KKRRR, dices: 1,1,4,3,4
Iteration 1314, progress: 1.9418724279835389%, best action: KKRRK, dices: 1,1,5,4,1
Iteration 6494, progress: 1.954732510288066%, best action: KKRRK, dices: 1,1,5,3,6
Iteration 13, progress: 1.9675925925925926%, best action: KKRRK, dices: 1,1,4,4,1
Iteration 14, progress: 1.9804526748971194%, best action: KKRKR, dices: 1,1,5,4,4
Iteration 5192, progress: 1.993312757201646%, best action: RRKKR, dices: 1,1,4,5,2
Iteration 15, progress: 2.006172839506173%, best action: KKRRR, dices: 1,1,5,4,5
Iteration 1315, progress: 2.0190329218106995%, best action: KKKRR, dices: 1,1,5,4,2
Iteration 2609, progress: 2.0318930041152266%, best action: KKRRK, dices: 1,1,4,5,6
Iteration 3250, progress: 2.044753086419753%, best action: RRRKK, dices: 1,1,4,5,1
Iteration 7138, progress: 2.05761316872428%, best action: KRRRR, dices: 1,1,4,5,3
Iteration 1316, progress: 2.0704732510288064%, best action: RRKKR, dices: 1,1,5,5,2
Iteration 2610, progress: 2.083333333333333%, best action: KKRRR, dices: 1,1,5,5,3
Iteration 3251, progress: 2.09619341563786%, best action: KKRKR, dices: 1,1,5,5,4
Iteration 2611, progress: 2.109053497942387%, best action: KKRRK, dices: 1,1,5,6,1
Iteration 2612, progress: 2.121913580246914%, best action: KKRRR, dices: 1,1,5,6,3
Iteration 2613, progress: 2.1347736625514404%, best action: KKRRR, dices: 1,1,5,6,4
Iteration 2614, progress: 2.147633744855967%, best action: RRKRR, dices: 1,1,5,6,5
Iteration 2615, progress: 2.1604938271604937%, best action: RRRKK, dices: 1,1,5,6,6
Iteration 659, progress: 2.1733539094650207%, best action: KKRRR, dices: 1,1,5,3,2
Iteration 660, progress: 2.199074074074074%, best action: KKRKK, dices: 1,1,6,1,2
Iteration 3902, progress: 2.211934156378601%, best action: KKRKR, dices: 1,1,5,1,6
Iteration 3903, progress: 2.2247942386831276%, best action: KKRKR, dices: 1,1,6,1,5
Iteration 1958, progress: 2.2376543209876543%, best action: RRRRR, dices: 1,1,5,2,4
Iteration 3904, progress: 2.2505144032921813%, best action: KKRKR, dices: 1,1,6,1,6
Iteration 3905, progress: 2.263374485596708%, best action: KKRRK, dices: 1,1,6,2,1
Iteration 3906, progress: 2.2762345679012346%, best action: KKRKK, dices: 1,1,6,2,2
Iteration 3907, progress: 2.289094650205761%, best action: KKKRK, dices: 1,1,6,2,3
Iteration 3908, progress: 2.301954732510288%, best action: RRKRK, dices: 1,1,6,2,4
Iteration 3909, progress: 2.314814814814815%, best action: KKRRR, dices: 1,1,6,2,5
Iteration 16, progress: 2.3276748971193415%, best action: KKRRK, dices: 1,1,5,5,1
Iteration 1959, progress: 2.3405349794238686%, best action: KKRRK, dices: 1,1,6,3,1
Iteration 3910, progress: 2.353395061728395%, best action: KKRKR, dices: 1,1,6,2,6
Iteration 6495, progress: 2.366255144032922%, best action: RRRKK, dices: 1,1,5,4,3
Iteration 1960, progress: 2.3791152263374484%, best action: RRRKK, dices: 1,1,6,3,3
Iteration 4546, progress: 2.391975308641975%, best action: KKRKR, dices: 1,1,5,3,4
Iteration 4547, progress: 2.404835390946502%, best action: KKRRK, dices: 1,1,6,4,1
Iteration 4548, progress: 2.4176954732510287%, best action: RRKRR, dices: 1,1,6,4,2
Iteration 5193, progress: 2.430555555555556%, best action: RKRKR, dices: 1,1,5,4,6
Iteration 5194, progress: 2.4434156378600824%, best action: KKRKK, dices: 1,1,6,4,4
Iteration 5195, progress: 2.456275720164609%, best action: KKRRR, dices: 1,1,6,4,5
Iteration 17, progress: 2.4691358024691357%, best action: KKRRR, dices: 1,1,6,3,2
Iteration 3252, progress: 2.4819958847736627%, best action: RRKRR, dices: 1,1,5,6,2
Iteration 3253, progress: 2.4948559670781894%, best action: KKRRR, dices: 1,1,6,5,2
Iteration 1317, progress: 2.507716049382716%, best action: KKRKR, dices: 1,1,5,5,6
Iteration 7139, progress: 2.5205761316872426%, best action: KRKKK, dices: 1,1,5,5,5
Iteration 18, progress: 2.5334362139917697%, best action: KKRKK, dices: 1,1,6,5,1
Iteration 19, progress: 2.5462962962962963%, best action: KKKRK, dices: 1,1,6,5,6
Iteration 20, progress: 2.5591563786008233%, best action: KKKKK, dices: 1,1,6,6,1
Iteration 1318, progress: 2.57201646090535%, best action: KKKRR, dices: 1,1,6,5,4
Iteration 7140, progress: 2.5848765432098766%, best action: RRRKK, dices: 1,1,6,5,5
Iteration 7141, progress: 2.597736625514403%, best action: KKKKR, dices: 1,1,6,6,4
Iteration 21, progress: 2.61059670781893%, best action: KKRRR, dices: 1,1,6,6,2
Iteration 22, progress: 2.6234567901234565%, best action: KKKKK, dices: 1,1,6,6,6
Iteration 1319, progress: 2.6363168724279835%, best action: KKRRK, dices: 1,1,6,6,3
Iteration 1320, progress: 2.6491769547325106%, best action: KKKKK, dices: 1,2,1,1,2
Iteration 23, progress: 2.662037037037037%, best action: KRKKK, dices: 1,2,1,1,1
Iteration 2616, progress: 2.674897119341564%, best action: KKRKK, dices: 1,1,6,1,1
Iteration 661, progress: 2.6877572016460904%, best action: KKRKK, dices: 1,1,6,1,4
Iteration 662, progress: 2.700617283950617%, best action: KRKKR, dices: 1,2,1,1,6
Iteration 5845, progress: 2.713477366255144%, best action: RKRRR, dices: 1,1,6,1,3
Iteration 663, progress: 2.7263374485596708%, best action: KKKKK, dices: 1,2,1,2,1
Iteration 664, progress: 2.7391975308641974%, best action: KKKKR, dices: 1,2,1,2,3
Iteration 665, progress: 2.7520576131687244%, best action: RKRKR, dices: 1,2,1,2,4
Iteration 5846, progress: 2.764917695473251%, best action: RKRKK, dices: 1,2,1,2,2
Iteration 666, progress: 2.7777777777777777%, best action: RKRKR, dices: 1,2,1,2,5
Iteration 667, progress: 2.7906378600823047%, best action: KKKKR, dices: 1,2,1,2,6
Iteration 668, progress: 2.8034979423868314%, best action: KKKRK, dices: 1,2,1,3,1
Iteration 669, progress: 2.816358024691358%, best action: KRKKR, dices: 1,2,1,3,2
Iteration 670, progress: 2.8292181069958846%, best action: KKKRR, dices: 1,2,1,3,4
Iteration 671, progress: 2.8420781893004112%, best action: KRKRR, dices: 1,2,1,3,5
Iteration 5847, progress: 2.8549382716049383%, best action: RRRKK, dices: 1,2,1,3,3
Iteration 3911, progress: 2.8677983539094654%, best action: KKRKK, dices: 1,1,6,3,4
Iteration 6496, progress: 2.880658436213992%, best action: RKRKR, dices: 1,1,6,3,5
Iteration 6497, progress: 2.8935185185185186%, best action: KKKRR, dices: 1,2,1,4,3
Iteration 3912, progress: 2.906378600823045%, best action: KRKKR, dices: 1,2,1,4,2
Iteration 3913, progress: 2.919238683127572%, best action: KRKRR, dices: 1,2,1,4,5
Iteration 3914, progress: 2.9320987654320985%, best action: KRKRR, dices: 1,2,1,4,6
Iteration 1961, progress: 2.9449588477366255%, best action: KRKRK, dices: 1,1,6,3,6
Iteration 1962, progress: 2.957818930041152%, best action: KKKRK, dices: 1,2,1,5,2
Iteration 1963, progress: 2.970679012345679%, best action: KRKRR, dices: 1,2,1,5,3
Iteration 1964, progress: 2.983539094650206%, best action: KRKKR, dices: 1,2,1,5,4
Iteration 3915, progress: 2.9963991769547325%, best action: KRKKK, dices: 1,2,1,5,1
Iteration 3916, progress: 3.009259259259259%, best action: KRKRK, dices: 1,2,1,5,6
Iteration 5196, progress: 3.022119341563786%, best action: KRKRK, dices: 1,1,6,4,6
Iteration 4549, progress: 3.0349794238683128%, best action: KRRKK, dices: 1,1,6,4,3
Iteration 24, progress: 3.0349794238683128%, best action: KKKRR, dices: 1,2,1,1,4
Iteration 3254, progress: 3.060699588477366%, best action: RRKKR, dices: 1,1,6,5,3
Iteration 7142, progress: 3.073559670781893%, best action: RRKKR, dices: 1,1,6,6,5
Iteration 3255, progress: 3.0864197530864197%, best action: KKKRR, dices: 1,2,1,6,5
Iteration 1321, progress: 3.0992798353909468%, best action: KRKKR, dices: 1,2,1,1,3
Iteration 7143, progress: 3.1121399176954734%, best action: KKKKK, dices: 1,2,2,1,1
Iteration 7144, progress: 3.125%, best action: KKKKR, dices: 1,2,2,1,3
Iteration 672, progress: 3.137860082304527%, best action: RRKRK, dices: 1,2,1,3,6
Iteration 7145, progress: 3.1507201646090532%, best action: RKKRK, dices: 1,2,2,1,4
Iteration 1322, progress: 3.1635802469135803%, best action: RKKRK, dices: 1,2,2,1,2
Iteration 7146, progress: 3.176440329218107%, best action: RKKRK, dices: 1,2,2,1,6
Iteration 7147, progress: 3.189300411522634%, best action: RKKKK, dices: 1,2,2,2,2
Iteration 7148, progress: 3.2021604938271606%, best action: RKKKR, dices: 1,2,2,2,3
Iteration 7149, progress: 3.2150205761316872%, best action: RKKKR, dices: 1,2,2,2,4
Iteration 2617, progress: 3.2278806584362143%, best action: KKKKK, dices: 1,2,1,1,5
Iteration 2618, progress: 3.2407407407407405%, best action: RKKKR, dices: 1,2,2,2,6
Iteration 5848, progress: 3.2536008230452675%, best action: KKKRK, dices: 1,2,1,4,1
Iteration 3917, progress: 3.2664609053497937%, best action: KRKRK, dices: 1,2,1,6,1
Iteration 3918, progress: 3.279320987654321%, best action: KKKRR, dices: 1,2,2,3,3
Iteration 6498, progress: 3.292181069958848%, best action: KRRKK, dices: 1,2,1,4,4
Iteration 3919, progress: 3.3050411522633745%, best action: RKKRR, dices: 1,2,2,3,4
Iteration 6499, progress: 3.3050411522633745%, best action: RKKRR, dices: 1,2,2,3,5
Iteration 3920, progress: 3.3307613168724277%, best action: RKKRR, dices: 1,2,2,3,6
Iteration 673, progress: 3.343621399176955%, best action: KKRKK, dices: 1,2,2,1,5
Iteration 674, progress: 3.356481481481482%, best action: RKKRR, dices: 1,2,2,4,3
Iteration 675, progress: 3.369341563786008%, best action: RRRKK, dices: 1,2,2,4,4
Iteration 5197, progress: 3.382201646090535%, best action: KRKKR, dices: 1,2,1,6,2
Iteration 676, progress: 3.3950617283950617%, best action: RKKRK, dices: 1,2,2,4,5
Iteration 1965, progress: 3.4079218106995888%, best action: KKRKK, dices: 1,2,1,5,5
Iteration 25, progress: 3.420781893004115%, best action: KRKKR, dices: 1,2,1,6,4
Iteration 3256, progress: 3.446502057613169%, best action: KRRRK, dices: 1,2,1,6,6
Iteration 3257, progress: 3.4593621399176953%, best action: RKKKK, dices: 1,2,2,5,5
Iteration 3258, progress: 3.4722222222222223%, best action: RKKRR, dices: 1,2,2,5,6
Iteration 1323, progress: 3.485082304526749%, best action: RKKKR, dices: 1,2,2,2,1
Iteration 1324, progress: 3.4979423868312756%, best action: RKKRK, dices: 1,2,2,6,2
Iteration 3259, progress: 3.5108024691358026%, best action: RKKRR, dices: 1,2,2,6,1
Iteration 2619, progress: 3.5236625514403292%, best action: RRRRK, dices: 1,2,2,3,1
Iteration 5849, progress: 3.5365226337448563%, best action: RKKKK, dices: 1,2,2,3,2
Iteration 5850, progress: 3.5493827160493825%, best action: RKKRR, dices: 1,2,2,6,6
Iteration 5851, progress: 3.5622427983539096%, best action: KRRKK, dices: 1,2,3,1,1
Iteration 677, progress: 3.5751028806584357%, best action: KKKRR, dices: 1,2,2,5,1
Iteration 678, progress: 3.587962962962963%, best action: KRKRK, dices: 1,2,3,1,3
Iteration 6500, progress: 3.60082304526749%, best action: KKKRR, dices: 1,2,2,4,1
Iteration 7150, progress: 3.60082304526749%, best action: KKKKR, dices: 1,2,2,2,5
Iteration 6501, progress: 3.6265432098765435%, best action: KRRKR, dices: 1,2,3,1,5
Iteration 7151, progress: 3.6394032921810697%, best action: KRRKR, dices: 1,2,3,1,6
Iteration 3921, progress: 3.652263374485597%, best action: RKKRK, dices: 1,2,2,4,2
Iteration 5198, progress: 3.665123456790124%, best action: KRKRR, dices: 1,2,2,4,6
Iteration 26, progress: 3.67798353909465%, best action: RKKRR, dices: 1,2,2,5,3
Iteration 27, progress: 3.690843621399177%, best action: RKKKR, dices: 1,2,3,2,4
Iteration 28, progress: 3.7037037037037033%, best action: RKKKK, dices: 1,2,3,2,5
Iteration 1966, progress: 3.7165637860082303%, best action: RKKRK, dices: 1,2,2,5,2
Iteration 1967, progress: 3.729423868312757%, best action: KRKKK, dices: 1,2,3,3,1
Iteration 1968, progress: 3.742283950617284%, best action: RKKKK, dices: 1,2,3,3,2
Iteration 29, progress: 3.755144032921811%, best action: RKRKR, dices: 1,2,3,2,6
Iteration 1969, progress: 3.7680041152263373%, best action: RRKKK, dices: 1,2,3,3,3
Iteration 1970, progress: 3.7808641975308643%, best action: RRKKK, dices: 1,2,3,3,5
Iteration 1971, progress: 3.7937242798353905%, best action: RRKKR, dices: 1,2,3,3,6
Iteration 1972, progress: 3.8065843621399176%, best action: KRRRK, dices: 1,2,3,4,1
Iteration 30, progress: 3.8194444444444446%, best action: RRKKK, dices: 1,2,3,3,4
Iteration 31, progress: 3.8323045267489713%, best action: RKKRK, dices: 1,2,3,4,3
Iteration 4551, progress: 3.8451646090534983%, best action: KKKRR, dices: 1,2,2,5,4
Iteration 4552, progress: 3.8580246913580245%, best action: KKKKK, dices: 1,2,3,4,5
Iteration 4553, progress: 3.8708847736625516%, best action: KKRRR, dices: 1,2,3,4,6
Iteration 32, progress: 3.8837448559670777%, best action: RKRKK, dices: 1,2,3,4,4
Iteration 33, progress: 3.896604938271605%, best action: RKRRK, dices: 1,2,3,5,2
Iteration 4554, progress: 3.909465020576132%, best action: RRRKK, dices: 1,2,3,5,1
Iteration 34, progress: 3.9223251028806585%, best action: RKKRK, dices: 1,2,3,5,3
Iteration 35, progress: 3.935185185185185%, best action: RRRKK, dices: 1,2,3,5,5
Iteration 36, progress: 3.9480452674897117%, best action: KRRRR, dices: 1,2,3,5,6
Iteration 4555, progress: 3.960905349794239%, best action: KRRRR, dices: 1,2,3,5,4
Iteration 4556, progress: 3.973765432098766%, best action: RKRRK, dices: 1,2,3,6,2
Iteration 4557, progress: 3.986625514403292%, best action: RRKRK, dices: 1,2,3,6,3
Iteration 4558, progress: 3.999485596707819%, best action: RRRKR, dices: 1,2,3,6,4
Iteration 4559, progress: 4.012345679012346%, best action: RKRRR, dices: 1,2,3,6,5
Iteration 37, progress: 4.025205761316872%, best action: KRRKK, dices: 1,2,3,6,1
Iteration 1325, progress: 4.038065843621399%, best action: RRRKK, dices: 1,2,2,6,3
Iteration 3260, progress: 4.050925925925926%, best action: KRRRR, dices: 1,2,2,6,4
